%time,field.v,field.h,field.vl,field.actual_v,field.u,field.rpm,field.pwm
1423683750623373973,0.127305891089,2.23676,0.0,0.91336,0.772301414317,98.0,1420
1423683750743377973,0.125813767847,2.22552,0.0,0.91336,0.832211180796,98.0,1421
1423683750861552306,0.124982237024,2.21428,0.0,1.19296,0.850659413543,128.0,1424
1423683750977517640,0.124354145597,2.20304,0.0,1.19296,0.856299403687,128.0,1426
1423683751095393640,0.123788270488,2.1918,0.0,1.19296,0.857976788929,128.0,1429
1423683751216000640,0.123240920242,2.18056,0.0,1.19296,0.858425706981,128.0,1431
1423683751331521973,0.122698549893,2.16932,0.0,0.0,0.858492844039,128.0,1432
1423683751449226306,0.122156949999,2.15808,0.0,0.98792,0.858440935174,106.0,1433
1423683751565952640,0.121614808027,2.15808,0.0,0.98792,0.892165233695,106.0,1435
1423683751681441306,0.121444508926,2.15808,0.00570173674675,0.98792,1.23348997132,106.0,1438
1423683751797131640,0.125037347116,2.15808,0.046507768605,0.0,3.37624485794,106.0,1440
1423683751915173973,0.152253998241,2.15808,0.102355524117,0.0,4.44965149746,106.0,1439
1423683752032481640,0.191303503852,2.16932,0.217901712131,0.0,4.4496158019,106.0,1439
1423683752151002640,0.23035042233,2.1918,0.413248643237,0.0,4.44958087105,106.0,1438
1423683752271629306,0.269394753848,2.21428,0.584907213889,0.0,4.44954670477,106.0,1438
1423683752392657640,0.308436498577,2.22552,0.59381779538,0.0,4.44951330291,106.0,1437
1423683752512500640,0.34747565669,2.248,0.601180438757,0.0,4.44948066532,106.0,1436
1423683752635618640,0.386512228357,2.25924,0.539405832278,0.0,4.44944879184,106.0,1435
1423683752753595973,0.425546213752,2.25924,0.419041117682,0.0,4.44941768232,106.0,1435
1423683752871346640,0.464577613045,2.25924,0.371791379584,0.0,1.35664023631,106.0,1434
1423683752988400973,0.469508717044,2.25924,0.401762167913,0.0,2.72720268188,106.0,1433
1423683753111635973,0.489550063948,2.25924,0.456646750619,0.0,4.44936832089,106.0,1431
1423683753231018306,0.528577222825,2.25924,0.51042573156,0.0,4.44933922739,106.0,1430
1423683753356628306,0.567601796054,2.25924,0.56095534384,0.0,4.4493108973,106.0,1429
1423683753473821306,0.606623783807,2.25924,0.607388781256,0.0,4.44928333046,106.0,1428
1423683753591984640,0.645643186257,2.25924,0.649652207813,0.0,4.44925652674,106.0,1426
1423683753709871973,0.684660003574,2.25924,0.688983471728,0.0,4.44923048597,106.0,1425
1423683753836033306,0.723674235932,2.25924,0.727023979642,0.0,4.44920520801,106.0,1423
1423683753955388640,0.762685883501,2.25924,0.764999411192,0.0,4.4491806927,106.0,1422
1423683754074994306,0.801694946454,2.25924,0.803448821992,0.0,4.44915693989,106.0,1420
1423683754196884640,0.840701424962,2.25924,0.842379689035,0.0,4.44913394944,106.0,1418
1423683754316913306,0.879705319196,2.25924,0.881566356656,0.0,4.40563162105,106.0,1416
1423683754432921973,0.918227259334,2.25924,0.920699048405,0.0,4.22709392732,106.0,1414
1423683754550258306,0.954778495512,2.25924,0.95909295044,0.0,4.10839930407,106.0,1412
1423683754666700640,0.990018911468,2.25924,0.995689530689,0.0,3.97819933676,106.0,1410
1423683754783338306,1.02382173274,2.25924,1.0301165211,0.0,3.82672995513,106.0,1408
1423683754900104640,1.05595254409,2.25924,1.0624746941,0.0,3.66819285015,106.0,1405
1423683755021547640,1.08633351964,2.248,1.03286448581,0.0,0.517120915417,106.0,1403
1423683755140648640,1.08197195073,2.248,1.04241572102,0.0,1.23641723911,106.0,1401
1423683755259188973,1.08554091787,2.22552,0.94236078434,0.0,-4.03948400636,106.0,1398
1423683755377774306,1.03094265114,2.20304,0.81877688194,0.0,-6.22815508552,106.0,1396
1423683755496522306,0.952217516214,2.16932,0.653676796248,0.13048,-6.22811539153,14.0,1394
1423683755616544640,0.873497572749,2.10188,0.284848118761,0.13048,-6.22807260163,14.0,1392
1423683755735460308,0.794782820403,2.0232,0.0184506771833,0.13048,-6.22802671645,14.0,1391
1423683755853552641,0.716073258837,1.8546,0.0,0.13048,-6.22797773659,14.0,1390
1423683755973182641,0.637368887709,1.76468,0.0,0.0,-6.22792566267,14.0,1388
1423683756090659308,0.558669706681,1.66352,0.0,0.89472,-6.22787049531,96.0,1389
